AB_category	sample	sum_abund	f_groups
aminoglycoside	SRS012273	2.42234803649895e-08	antibiotic resistance
aminoglycoside	SRS019910	3.91209797989747e-09	antibiotic resistance
aminoglycoside	SRS014235	8.11841782392604e-09	antibiotic resistance
aminoglycoside	SRS015369	9.74335329488916e-10	antibiotic resistance
aminoglycoside	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_12P	6.04519099729776e-09	antibiotic resistance
aminoglycoside	SRS016267	5.4966706596368e-09	antibiotic resistance
aminoglycoside	SRS011239	3.82637184829938e-09	antibiotic resistance
aminoglycoside	Tomsk_2014_02_28_1_L02_L03_merg_26_50trimmed_T_F3	6.06436855163035e-08	antibiotic resistance
aminoglycoside	kazan5500_2014_03_31_1_L03_29BR_50trimmed_T_F3	1.67022725824914e-08	antibiotic resistance
aminoglycoside	222_257_20111020_FRAG_BC_222_257_F3_253	9.7941003316479e-09	antibiotic resistance
aminoglycoside	SRS019030	4.75278887902958e-09	antibiotic resistance
aminoglycoside	SRS017701	1.52679667325757e-09	antibiotic resistance
aminoglycoside	SRS023914	8.76671832127351e-09	antibiotic resistance
aminoglycoside	SRS049959	2.8866648077109e-08	antibiotic resistance
aminoglycoside	61_106_20121101_FRAG_BC_61_106_F3_70	2.84651173677213e-09	antibiotic resistance
aminoglycoside	61_106_20121101_FRAG_BC_61_106_F3_101	5.98556818900989e-09	antibiotic resistance
aminoglycoside	Tomsk_2014_02_28_1_L01_12_50trimmed_T_F3	7.69379508358616e-09	antibiotic resistance
aminoglycoside	SRS043411	5.49741895179083e-09	antibiotic resistance
phenicol	MH0078_090130	1.33532342811133e-08	antibiotic resistance
phenicol	SRR413576merged	2.59240431066217e-08	antibiotic resistance
phenicol	61_106_20121101_FRAG_BC_61_106_F3_61	1.13748536046913e-08	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L02_47BR_50trimmed_T_F3	1.14105172485263e-08	antibiotic resistance
phenicol	SRR413564merged	9.10549324287229e-09	antibiotic resistance
phenicol	211_251_20111102_FRAG_BC_211_251_F3_251	7.89056829128794e-08	antibiotic resistance
phenicol	T1_T16_20140211_FRAG_BC_T1_T16_F3_T2	3.50370480360951e-08	antibiotic resistance
phenicol	SRS064276	1.05866880179467e-08	antibiotic resistance
phenicol	SRR413714merged	2.73900052081776e-09	antibiotic resistance
phenicol	SRR413746merged	8.34940684252407e-08	antibiotic resistance
phenicol	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_9P	1.04303824817091e-08	antibiotic resistance
phenicol	SRR413740merged	1.87584296783913e-08	antibiotic resistance
phenicol	77_Omsk_20120215_FRAG_BC_77_Omsk_F3_181	9.48387845008371e-08	antibiotic resistance
phenicol	SRR413583merged	1.3002154860814e-08	antibiotic resistance
phenicol	77_Omsk_20120215_FRAG_BC_77_Omsk_F3_182	2.48332321820876e-08	antibiotic resistance
phenicol	SRR413623merged	7.26670769714642e-09	antibiotic resistance
phenicol	SRR413755merged	1.82833812714378e-09	antibiotic resistance
phenicol	SRS014613	6.94102448327306e-10	antibiotic resistance
phenicol	SRR413575merged	2.57676643925583e-09	antibiotic resistance
phenicol	SRR413586merged	1.85177829516177e-07	antibiotic resistance
phenicol	SRR413733merged	1.76789669562332e-07	antibiotic resistance
phenicol	211_251_20111102_FRAG_BC_211_251_F3_214	7.6600885396765e-08	antibiotic resistance
phenicol	SRR413569merged	3.44251098747245e-08	antibiotic resistance
phenicol	SRR413772merged	2.94440021047111e-08	antibiotic resistance
phenicol	SRR413589merged	5.44931994811794e-07	antibiotic resistance
phenicol	SRR413624merged	1.16861863977146e-07	antibiotic resistance
phenicol	SRR413747merged	8.56496823612965e-09	antibiotic resistance
phenicol	SRR413598merged	1.60779513079421e-08	antibiotic resistance
phenicol	SRR413718merged	6.76430080421814e-08	antibiotic resistance
phenicol	SRR413614merged	1.63069414917884e-09	antibiotic resistance
phenicol	SRR413762merged	2.95447024043327e-08	antibiotic resistance
phenicol	SRR413737merged	1.80992479636406e-08	antibiotic resistance
phenicol	61_106_20121101_FRAG_BC_61_106_F3_69	2.35978401261608e-08	antibiotic resistance
phenicol	SRR413715merged	6.8141725776248e-10	antibiotic resistance
phenicol	SRR413728merged	1.00260546287681e-08	antibiotic resistance
phenicol	SRR413761merged	5.7202262786787e-08	antibiotic resistance
phenicol	SRR413579merged	2.10975271558826e-09	antibiotic resistance
phenicol	202_209_20111028_FRAG_BC_202_209_F3_203	1.51574188258439e-08	antibiotic resistance
phenicol	SRR413771merged	1.64195447406252e-07	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L03_29BR_50trimmed_T_F3	4.47299583144071e-09	antibiotic resistance
phenicol	SRS021948	1.64675901202471e-09	antibiotic resistance
phenicol	SRR413617merged	1.4332949177273e-08	antibiotic resistance
phenicol	Sh_260_20111020_FRAG_BC_Sh_260_F3_259	1.41983452745728e-09	antibiotic resistance
phenicol	BC_9_16_20111003_FRAG_BC_BC_1_8_20111003_F3_103	6.13002244900674e-09	antibiotic resistance
phenicol	SRR413709merged	2.51849020968523e-08	antibiotic resistance
phenicol	SRR413584merged	8.49161210004268e-08	antibiotic resistance
phenicol	MH0040_081223	7.04716991444467e-09	antibiotic resistance
phenicol	SRR413561merged	1.53450422422347e-08	antibiotic resistance
phenicol	MH0053_090125	5.31189780502591e-09	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L01_17BR_50trimmed_T_F3	5.61109842848012e-09	antibiotic resistance
phenicol	280_287_20111115_FRAG_BC_280_287_F3_284	3.79578551592833e-08	antibiotic resistance
phenicol	T1_T16_20140211_FRAG_BC_T1_T16_F3_T10	7.70217179968341e-09	antibiotic resistance
phenicol	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_46P	8.177093307801e-08	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L01_62BR_50trimmed_T_F3	2.66527373693298e-08	antibiotic resistance
phenicol	232_250_20111116_FRAG_BC_232_250_F3_240	4.18749070583347e-07	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L01_18BR_50trimmed_T_F3	1.93328556150804e-08	antibiotic resistance
phenicol	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_45P	5.65575488695478e-08	antibiotic resistance
phenicol	185_210_20111102_FRAG_BC_185_210_F3_190	1.77763741737524e-08	antibiotic resistance
phenicol	SRR413703merged	7.17523161387295e-09	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L01_08_50trimmed_T_F3	3.72856950350445e-08	antibiotic resistance
phenicol	61_106_20121101_FRAG_BC_61_106_F3_72	1.0954854000282e-08	antibiotic resistance
phenicol	Sh_260_20111020_FRAG_BC_Sh_260_F3_258	6.02406773938497e-09	antibiotic resistance
phenicol	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_313	2.69011955869162e-08	antibiotic resistance
phenicol	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_311	2.32202602068129e-08	antibiotic resistance
phenicol	222_257_20111020_FRAG_BC_222_257_F3_224	3.1306420167309e-09	antibiotic resistance
phenicol	SRR413588merged	1.29322561368895e-07	antibiotic resistance
phenicol	SRS049995	1.23705705441183e-09	antibiotic resistance
phenicol	261_268_20111115_FRAG_BC_261_268_F3_266	1.30734940783031e-07	antibiotic resistance
phenicol	280_287_20111115_FRAG_BC_280_287_F3_283	1.00699381817966e-06	antibiotic resistance
phenicol	232_250_20111116_FRAG_BC_232_250_F3_242	1.5757479164208e-07	antibiotic resistance
phenicol	202_209_20111028_FRAG_BC_202_209_F3_202	1.46141609975705e-09	antibiotic resistance
phenicol	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_38P	1.29747091733125e-08	antibiotic resistance
phenicol	SRS020233	4.75192552768128e-10	antibiotic resistance
phenicol	SRR413708merged	6.11581146297062e-08	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L03_32BR_50trimmed_T_F3	6.72352390740291e-07	antibiotic resistance
phenicol	61_106_20121101_FRAG_BC_61_106_F3_98	3.39831980528992e-08	antibiotic resistance
phenicol	232_250_20111116_FRAG_BC_232_250_F3_250	4.21076779288474e-09	antibiotic resistance
phenicol	Spb_9_16_20110305_FRAG_BC_Spb_9_16_F3_62	3.1784025267593e-08	antibiotic resistance
phenicol	SRR413629merged	4.15287246673665e-09	antibiotic resistance
phenicol	SRS064645	1.69667368120852e-09	antibiotic resistance
phenicol	SRS016056	7.30257080549067e-11	antibiotic resistance
phenicol	SRR413613merged	7.24495169834806e-09	antibiotic resistance
phenicol	SRS014923	1.06787892327355e-09	antibiotic resistance
phenicol	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T19	6.46404255486063e-08	antibiotic resistance
phenicol	130_179_2_20120514_FRAG_BC_130_179_2_F3_179	6.12124716579334e-08	antibiotic resistance
phenicol	MH0024_090121	2.57505966404178e-09	antibiotic resistance
phenicol	SRS049900	7.50596986713164e-10	antibiotic resistance
